2017/08/12 21:13:54 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: Loading user properties from: C:\Users\XPS 1530\Desktop\Test Tools\apache-jmeter-3.0\apache-jmeter-3.0\bin\user.properties 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: Loading system properties from: C:\Users\XPS 1530\Desktop\Test Tools\apache-jmeter-3.0\apache-jmeter-3.0\bin\system.properties 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: Version 3.0 r1743807 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: java.version=1.8.0_144 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) Client VM 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: os.name=Windows 10 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: os.arch=x86 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: os.version=10.0 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: Max memory     =1060372480 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: Available Processors =2 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: JMeterHome=C:\Users\XPS 1530\Desktop\Test Tools\apache-jmeter-3.0\apache-jmeter-3.0 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: user.dir  =C:\Users\XPS 1530\Desktop\Test Tools\apache-jmeter-3.0\apache-jmeter-3.0\bin 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: PWD       =C:\Users\XPS 1530\Desktop\Test Tools\apache-jmeter-3.0\apache-jmeter-3.0\bin 
2017/08/12 21:13:56 INFO  - jmeter.JMeter: IP: 192.168.1.10 Name: XPS1530-PC FullName: XPS1530-PC 
2017/08/12 21:13:56 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2017/08/12 21:13:57 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2017/08/12 21:13:58 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2017/08/12 21:13:58 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2017/08/12 21:14:00 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2017/08/12 21:14:01 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/08/12 21:14:01 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/08/12 21:14:01 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/08/12 21:14:01 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/08/12 21:14:01 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2017/08/12 21:14:01 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2017/08/12 21:14:02 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'C:\Program Files\Java\jre1.8.0_144\bin\keytool' 
